ItemId,Price
367,27080
9549,8000
9624,8000
9649,8000
9689,8000
979,10800
1003,9600
8863,9600
9374,700
9377,700
9375,800
9396,400
9397,400
9381,2000
9382,2000
9383,2000
9384,2000
7847,1000
9426,800
9427,1200
9428,2000
9417,4000
7829,3700
7830,5000
145,32800
140,41504
9948,15392
183,41000
188,51880
212,41000
217,51880
255,32800
254,41504
236,15392
284,41000
289,51880
313,41000
318,51880
342,41000
341,51880
368,41000
982,15300
1000,15300
8858,15300
9066,4000
9398,400
47,5500
11077,48840
11082,48840
166,24420
11122,61050
11127,61050
11152,61050
11157,61050
11092,48840
11097,48840
9983,24420
11107,61050
11112,61050
11167,61050
11172,61050
11137,61050
11142,61050
373,61050
394,61050
987,21000
988,21600
8748,21000
1005,21600
1021,21000
1022,21600
52,500
7979,3700
9376,700
38,400
40,1500
9387,6000
9388,6000
9389,6000
9390,6000
148,58340
185,72930
214,72930
257,58340
9356,72930
322,72930
351,72930
532,26040
559,45580
611,26040
585,32560
635,26040
663,45580
717,26040
692,32560
743,26040
770,45580
824,26040
797,32560
851,26040
877,45580
929,26040
904,32560
8618,22200
8743,22200
8878,22200
7554,2000
7555,3000
9363,2000
9364,3000
41,2000
9378,5000
9399,700
991,29260
993,29260
8893,28880
8833,29640
9000,24000
9001,24000
9002,24000
9003,24000
9004,24000
8999,24000
9410,1500
9411,1500
9412,1500
9413,1500
9467,15000
8638,36000
8778,36000
8898,36000
9198,4000
9202,4000
25738,2000
25768,2500
14292,512080
17961,716100
14332,256040
17976,716100
14357,640100
17991,716100
14402,512080
18006,716100
14447,256040
18021,716100
14497,640100
18036,716100
14542,640100
18051,716100
418,640100
18066,716100
14622,640100
18081,716100
14672,640100
18096,716100
14722,640100
18111,716100
14822,640100
18126,716100
20052,517140
20057,716100
17576,206305
17591,206305
17606,206305
17621,206305
17636,360520
17651,360520
17666,360520
17681,360520
17696,206305
17711,206305
17726,206305
17741,206305
17756,257710
17771,257710
17786,257710
17801,257710
17816,72104
17831,52090
17846,82933
9414,4000
9418,7000
9422,9000
9415,4000
9419,7000
9423,9000
9416,4000
9420,7000
9424,9000
9421,7000
9425,9000
